date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:03:56	49030/49030	---M-Z	200	added ('OK')	text/html	date:Mon,%2007%20Sep%202020%2021:03:55%20GMT	https://www.constructorainsur.com/index.php	C:/My%20Web%20Sites/ConstruccionWeb/ConstruccionWeb/www.constructorainsur.com/index.html	(from )
16:03:57	239/239	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2007%20Sep%202020%2021:03:56%20GMT	https://www.constructorainsur.com/robots.txt		(from )
16:03:57	1147/1147	---M--	200	added ('OK')	image/png	date:Tue,%2004%20Jul%202017%2018:08:11%20GMT	https://www.constructorainsur.com/images/favicon.png	C:/My%20Web%20Sites/ConstruccionWeb/ConstruccionWeb/www.constructorainsur.com/images/favicon.png	(from https://www.constructorainsur.com/index.php)
16:03:58	9600/9600	---MCZ	200	added ('OK')	text/css	date:Tue,%2023%20Apr%202019%2015:40:49%20GMT	https://www.constructorainsur.com/css/boilerplate.css	C:/My%20Web%20Sites/ConstruccionWeb/ConstruccionWeb/www.constructorainsur.com/css/boilerplate.css	(from https://www.constructorainsur.com/index.php)
16:03:59	24611/24611	---MCZ	200	added ('OK')	text/css	date:Wed,%2001%20Apr%202020%2022:54:41%20GMT	https://www.constructorainsur.com/css/estilos.min.css	C:/My%20Web%20Sites/ConstruccionWeb/ConstruccionWeb/www.constructorainsur.com/css/estilos.min.css	(from https://www.constructorainsur.com/index.php)
16:04:00	3215/3215	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2004%20Jul%202017%2018:09:58%20GMT	https://www.constructorainsur.com/js/respond.min.js	C:/My%20Web%20Sites/ConstruccionWeb/ConstruccionWeb/www.constructorainsur.com/js/respond.min.js	(from https://www.constructorainsur.com/index.php)
16:04:00	1199/1199	---MCZ	200	added ('OK')	text/css	date:Fri,%2020%20Mar%202020%2021:02:25%20GMT	https://www.constructorainsur.com/css/owl.carousel.css	C:/My%20Web%20Sites/ConstruccionWeb/ConstruccionWeb/www.constructorainsur.com/css/owl.carousel.css	(from https://www.constructorainsur.com/index.php)
16:04:01	1164/1164	---MCZ	200	added ('OK')	text/css	date:Mon,%2030%20Mar%202020%2023:50:25%20GMT	https://www.constructorainsur.com/css/owl.theme.css	C:/My%20Web%20Sites/ConstruccionWeb/ConstruccionWeb/www.constructorainsur.com/css/owl.theme.css	(from https://www.constructorainsur.com/index.php)
16:04:01	3609/3609	---MCZ	200	added ('OK')	text/css	date:Mon,%2030%20Mar%202020%2023:51:15%20GMT	https://www.constructorainsur.com/css/owl.transitions.css	C:/My%20Web%20Sites/ConstruccionWeb/ConstruccionWeb/www.constructorainsur.com/css/owl.transitions.css	(from https://www.constructorainsur.com/index.php)
16:04:02	614/614	---MCZ	200	added ('OK')	text/css	date:Tue,%2027%20Jun%202017%2020:10:31%20GMT	https://www.constructorainsur.com/assets/js/google-code-prettify/prettify.css	C:/My%20Web%20Sites/ConstruccionWeb/ConstruccionWeb/www.constructorainsur.com/assets/js/google-code-prettify/prettify.css	(from https://www.constructorainsur.com/index.php)
16:04:03	92629/92629	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2027%20Jun%202017%2020:10:33%20GMT	https://www.constructorainsur.com/assets/js/jquery-1.9.1.min.js	C:/My%20Web%20Sites/ConstruccionWeb/ConstruccionWeb/www.constructorainsur.com/assets/js/jquery-1.9.1.min.js	(from https://www.constructorainsur.com/index.php)
16:04:03	23760/23760	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2020%20Mar%202020%2021:00:31%20GMT	https://www.constructorainsur.com/js/owl.carousel.js	C:/My%20Web%20Sites/ConstruccionWeb/ConstruccionWeb/www.constructorainsur.com/js/owl.carousel.js	(from https://www.constructorainsur.com/index.php)
